id,area,scenario,expected,status,evidence,harness,notes
SAIL-15,deck-scene,A multi-zone deck (the 6x12 hull's 1x2 zones) is rebuilt client-side,"Both zones land, zone-aligned, in the boat world",PASS,"live rides 2026-08-26: the 6x12 hull's REBUILD_WORLDENTITY_V4 lands both zones client-side — the rider boards, walks the full deck length across the zone seam (TORIRS_SIM_CLICK_AT deck walks), and the painter draws the whole deck; orbit filmstrips under scratchpad sail/",torirs --manifest manifests/manifest_osrs239_sailing.ini,Server-side 1x2 encoding was already SAIL-10.
SAIL-16,hull-motion,A commanded turn is stepped over ticks while the hull advances,The heading changes by exactly the per-tick cap and each step lands on the quarter-tile (32 fine unit) quantum,PASS,".sailtmp/selftest_run9.log:1209 section ""the mover turns under the cap and steps on the quantum""; checks ""tick %d turns to exactly %d, got %d"", ""tick %d lands on the quarter-tile quantum, got (%d,%d)"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,
SAIL-17,hull-motion,A sail is commanded to a target tile,"It arrives exactly on the target tile centre and parks, in exactly four ticks",PASS,".sailtmp/selftest_run9.log:1210 section ""a targeted sail arrives at speed and parks""; checks ""the sail ends parked"", ""exactly on the target tile center, got (%d,%d)"", ""and took exactly four ticks, got %d"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,
SAIL-18,hull-motion,A sail is commanded as a bare heading,It never parks on its own — a heading is held until countermanded,PASS,"check ""a heading sail never parks on its own"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,
SAIL-19,hull-motion,The hull moves for three ticks with an observer attached,Every tick under way carries an op-2 record; the deltas sum to the path; a heading it already held encodes no yaw change,PASS,"checks ""every tick under way carries an op-2 record, got %d of 3"", ""the hull actually moved (heading 0 sails north), %d -> %d"", ""and the deltas sum to the path (%d,%d), got (%d,%d)"", ""with no yaw change on a heading it already held, got %d"", ""nor any on the hull itself"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,
SAIL-20,hull-motion,Client reads the per-tick delta ops and advances every live entity,"i8/i16/i32 arms, signs, seq and bounds decode; the per-frame worklist, clock and terrain hook run once per frame",PASS,".sailtmp/test_wev.log ""ok - WORLDENTITY_INFO delta reader (i8/i16/i32, signs, seq, bounds)"", ""ok - per-frame driver (worklist, clock, terrain hook)""",make test-wev,
SAIL-21,hull-motion,Client interpolates a queued segment over 30 cycles,"Linear x/z, shortest-arc angle including the 2047->1 wraparound, snap, backlog cap, drain",PASS,".sailtmp/test_wev.log ""ok - interpolator (linear, wraparound both ways, snap, backlog cap, drain)""",make test-wev,
SAIL-22,collision,"Sail from 3072,3160 toward the real southern coast",The complete hull stops afloat and remains stopped,PASS,docs/sailing_validation/collision-results.json; collision-stopped.png,tools/sailing_collision_acceptance.py,"2026-09-06: surveyed natural sea; no synthetic water flags. Native half RE-RUN twice on 2026-09-07: on the 08:08 client 4854e303, then again at 09:36 on the FINAL pair (src/torirs 5e34b81f / src/build_opt/torirsserver 6a0e7f04, pack 902a6b8d unchanged), which is what collision-results.json now carries; the tool recorded no provenance at all before this phase -- see sailing_validation/README.md."
SAIL-23,collision,Place and remove a blocker on natural ocean,Boat collision respects the obstacle; removing it preserves independent ocean/player terrain flags,PASS,src/torirsserver/test/sailing_collision_test.c; docs/sailing_collision.md,make -C src test-sailing-collision,Replaces the obsolete stamped-water test. water_stamp and restamping are removed.
SAIL-24,collision,Two hulls are sailed into each other,"Nothing — hull-vs-hull collision does not exist (deob-faithful, SAILING_PLAN S1.2)",UNTESTED,"No check exists and none is owed: neither the deob nor src/torirsserver/torirs_server_vessel.c contains a hull-vs-hull test. The nearest positive evidence is the collision suite proving the boat map is separate from the walking map (""boat and player collision maps have independent storage"" @ src/torirsserver/test/sailing_server_selftest.u.h) and that a hull stops at land (""the blocked sail parks short of the land tile"").",none,"BY DESIGN, not a gap: boats pass through each other, deob-faithfully (SAILING_PLAN S1.2, plan-audit row S1.2). No pending run closes this row — the absence IS the requirement. Do not ""fix"" it by adding a boat/boat check."
SAIL-25,render,A deck is painted inside its parent's frame,"Exactly one BEGIN_WORLD/END_WORLD pair, balanced, with every deck loc between them and no parent loc",PASS,".sailtmp/test_painters_wev.log test_descent_emits_deck_between_markers: ""exactly one BEGIN_WORLD(1)"", ""marker stream is balanced"", ""deck loc A emits inside the markers"", ""no parent loc emits between the markers""",make test-painters-world-entity,src/painters/test/painters_test_world_entity.c
SAIL-26,render,A loc stands behind the hull and another in front,The one behind emits before BEGIN_WORLD and the one in front after END_WORLD — parent painter order is preserved,PASS,".sailtmp/test_painters_wev.log ""a loc behind the boat emits before BEGIN_WORLD"", ""a loc in front of the boat emits after END_WORLD""",make test-painters-world-entity,The whole point of descent rather than a pre-baked billboard.
SAIL-27,render,The hull shares a tile with other locs,"The batch is cut: the deck emits inside the markers and the tile-mates resume after END_WORLD, each exactly once",PASS,".sailtmp/test_painters_wev.log test_descent_resumes_the_rest_of_the_tile: ""the batch really is cut: a tile-mate emits after END_WORLD"", ""no tile-mate emits between the markers""",make test-painters-world-entity,
SAIL-28,render,A view is named that was never bound; and view A descends into B which descends back into A,Both refusals still balance the marker stream — an empty pair for the unbound view; the cycle stops and each deck paints exactly once,PASS,".sailtmp/test_painters_wev.log test_unbound_view_emits_an_empty_pair: ""unbound view closes immediately, empty"", ""the parent resumes after the empty pair""; test_cycle_is_refused_not_re_entered: ""the cycle stops at the third level (root, 1, 2)"", ""deck1 painted exactly once""",make test-painters-world-entity,
SAIL-29,render,Views are nested to the 16-view registry bound,"The chain nests to the bound, one BEGIN per view, the innermost strictly inside the outermost",PASS,".sailtmp/test_painters_wev.log test_nesting_to_the_registry_bound: ""the chain nests to the registry bound"", ""every level in the chain painted exactly once""",make test-painters-world-entity,Structural support for OQ3; nested rendering against real content is still unvalidated.
SAIL-30,render,No boats are live at all,"The scene paints as it did before the descent work — no END_WORLD, same count, same stream on repaint",PASS,".sailtmp/test_painters_wev.log ""no END_WORLD with zero boats"", ""the boat-free scene still paints"", ""repaint emits the same stream""",make test-painters-world-entity,R2's correctness half. The p50 render benchmark half is not run here.
SAIL-31,render,More boats are live than the full-detail budget allows,The over-budget hulls flatten to a flat-HSL billboard and contribute no actor commands and no pick hashes,PASS,"C4 landed 2026-08-26: app_wev_decide_flatten + app_wev_flat_ensure bake a merged squashed flat-colour model (Y scale 0.01, offset -1200); TORIRS_WEV_BUDGET=1 live run flattens the second hull — flat model drawn via painter_add_normal_scenery, register_deck_actors skips flattened views, no pick emission; App_WevFlatInvalidate rebakes on REBUILD",torirs + TORIRS_WEV_BUDGET=1,src/app.c app_wev_flat_* / app_wev_decide_flatten.
SAIL-32,render,Two hulls overlap on screen,Priority groups draw 2/0/1 and the first-placed wins the frame stamp — topmost renders full,PASS,"group-1 arm live 2026-08-27: ::vesselspawnat gained a [prio] arg; a priority-1 hull overlapping a placed full-detail hull logs ""entity 2 FLATTENS (group 1, 1 full-detail placed, budget 4)"" while the same hull spawned clear of the skiff stays full detail (0 flatten lines); group-0/2 + budget arms were the SAIL-31 run",torirs + TORIRS_WEV_DEBUG=1 + ::vesselspawnat ... 0 1,Priority is spawn-trailer-only on the wire (updates carry no flags) — set at spawn.
SAIL-33,render,The client renders a sailing hull against the embedded server,A hull and its deck appear in a captured frame and move between captures,PASS,".sailtmp/rose/h00.log .. .sailtmp/rose/h15.log — each carries ""wev: SPAWN id=1 config=2 size=8x8 prio=0 fine=151616,299072"", ""wev: local player ABOARD view 1 at view-local 512,448 (root 6208,6208)"" and ""wev: view 0 entity 1 PAINTED""; frames at .sailtmp/rose/h*/frame_00300.bmp","torirs_win64.exe --manifest manifests/manifest_osrs239_sailing.ini (SDL_VIDEODRIVER=dummy, TORIRS_BMP_SERIES)","16 headless boots against the embedded rev-239 server, one per compass heading. The hull is spawned ON the player with ::vesselspawnat, so boarding is geometric footprint containment and no teleport is issued; ::vesselspawnat stamps no water, so the sea under every frame is the cache's own m18_36 open ocean."
SAIL-34,aboard,A player stands on a tile the vessel's deck instance reserves,ToriRSServer_VesselAtTile answers with that hull — the whole of the server's definition of aboard,PASS,".sailtmp/selftest_run9.log:1216 section ""the two notions of aboard""; checks ""on a tile the hull owns, which is the whole of the server's definition of aboard"", ""the deck tile answers with the hull that owns it"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,
SAIL-35,aboard,A client decides which view an actor is in,"Membership is geometric: the half-open deck rectangle, correct at all 16 headings, from both sides of the transform",PASS,".sailtmp/test_painters_wev.log test_deck_membership_and_transform: ""deck origin is aboard"", ""the +x edge is not aboard"", ""deck <-> parent round trips at all 16 headings"", ""every deck point is aboard from the parent side too""",make test-painters-world-entity,src/world/wev_deck.c — this is app_wev_route_point's rule (src/app.c:9708).
SAIL-36,aboard,An actor is routed onto a deck and another left ashore,"The one aboard emits between that hull's markers, the one ashore outside them",PASS,".sailtmp/test_painters_wev.log test_actor_aboard_emits_inside_the_markers: ""an actor inside the boat's footprint emits between the markers"", ""an actor outside the boat's footprint emits outside the markers""",make test-painters-world-entity,
SAIL-37,aboard,A player genuinely boards — is teleported into the deck instance,"They keep playing: they step, run their queue and swing",PASS,".sailtmp/selftest_run14.log (exit=0, ""ToriRSServer selftest: all checks passed""); checks ""boarding does not arm the rev-239 scene barrier (rebuild_scene_pending=%d) — a vessel deck carries no cutscene zone events to protect and phase_players skips whoever holds one"", ""nor is the login barrier still up (login_scene_pending=%d)"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,"FIXED. The rev-239 rebuild branch in torirs_server_world.c now excludes vessel decks: a deck instance carries no cutscene zone events for the barrier to protect, and phase_players skips anyone holding one, so boarding froze the rider outright. Worth pinning rather than only fixing — with the barrier up, every deck-move row below would also have passed, because a rider who cannot move at all never moves wrongly."
SAIL-38,aboard,A player walks onto the hull's ROOT footprint without being teleported into the instance,"Either they are aboard by both definitions, or by neither",PASS,".sailtmp is gone; verified live 2026-08-26: a genuinely boarded rider (pool coords) is homed by the STAGING rectangle (App_WevHomeViewForAbsTile + ViewPlacement.home_view) and drawn deck-local; a footprint-overlap walker is only ever drawn via the projection and the hull sails out from under them, which is now also what the server believes",torirs --manifest manifests/manifest_osrs239_sailing.ini + vesselboard,"The client now has TWO aboard rules with distinct jobs: staging-rect homing (exact, for actors whose wire coords are deck-instance tiles — the deob's rule) and hull-footprint routing (for actors observed at PROJECTED root coords). A footprint walker was never server-aboard and now visibly stays behind."
SAIL-39,deck-move,A hull sails eight ticks with a standing rider on its deck,The rider's OWN tile never moves — a deck tile IS their position — while their observed tile is that deck tile projected through the hull every tick,PASS,"checks ""a standing rider's OWN tile never moves — the deck tile is the whole of their position, and %d tick(s) moved it"", ""while their observed tile is that deck tile projected through the hull, on every tick, got %d of %d"", ""and it travelled: %d,%d -> %d,%d"" @ src/torirsserver/test/sailing_server_selftest.u.h; .sailtmp/selftest_run9.log:1216",torirsserver --selftest,The projection is recomputed per tick by ToriRSServer_WorldRefreshObservation.
SAIL-40,deck-move,A rider routes to a neighbouring deck tile and walks it while the hull is under way,The route returns waypoints and their step composes with the hull's motion into ONE observed tile every tick,PASS,"checks ""and the route to %d,%d comes back with waypoints"", ""the rider takes a walk step along the deck while it sails, %d,%d -> %d,%d"", ""and their step and the hull's compose into the ONE observed tile every tick, got %d of %d"", ""with the hull genuinely under way for the walk, %d tick(s)"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,"Composition is exact: the rider's own step and the hull's translation resolve to ONE observed tile per tick, with the hull genuinely under way for the walk."
SAIL-41,deck-move,The projected observation moves while the rider's feet do not,"The rider is NOT removed and re-added: high-resolution PLAYER_INFO carries the raw deck coordinate, so only the coarse/visibility frame follows the hull",PASS,"checks ""observation offset changed on %d of %d moving ticks; the other %d stayed within the same root tile"", ""fine hull motion also occurs without changing the rider visibility tile"" @ src/torirsserver/test/sailing_server_selftest.u.h; ""moving aboard keeps the same remote player without remove/re-add (observer %d)"", ""actual decoder preserves authoritative deck coordinates for observer %d: %d,%d expected %d,%d"" @ src/torirsserver/test/sailing_multiplayer_selftest.u.h; native docs/sailing_validation/multiplayer/results.json (peer HarnessMate stays element 805308157 across the move)",torirsserver --selftest,"Plan risk R1 is RETIRED, superseding the old COST row. obs_jumped survives only as a diagnostic counter; the final two-coordinate contract is projected root coordinates for visibility/coarse presence and raw coordinates for high-resolution PLAYER_INFO. RUN 2026-09-07 on the SHARED server 214b43d7 (built 08:08 from the final sources): TORIRSSERVER_SELFTEST_SAILING_ONLY=1 -> 563 checks, 0 failures, exit 0 (docs/sailing_validation/server/sailing-selftest-final.{log,tsv}); the full suite -> 250,071 checks, 0 failures (server/full-selftest-final.log). RE-RUN 2026-09-07 09:36 on the REBUILT shared server 6a0e7f04: sailing-only -> 563 checks, 0 failures (/tmp/sailing-fin3/sailing-selftest.log, .tsv). The FULL suite was NOT re-run on 6a0e7f04; the 250,071/0 above stands from 214b43d7 and is carried across three server-side source differences only (SRV-1's out->unbounded initialiser, a cached TORIRSSERVER_EXT_DEBUG getenv, and asserts that OPT=1 compiles out). The 1701-line sailing block lives in test/sailing_*_selftest.u.h; /tmp/sailing-server-capacity.log (481/1) is superseded and is not evidence."
SAIL-42,deck-move,The hull moves at speed tier 1 (64 fine units/tick against 128 per tile),High-resolution staging keeps the rider on the authoritative deck tile; only the coarse visibility tile is quantised (fine >> 7),PASS,"checks ""a standing rider's OWN tile never moves"", ""while their observed tile is that deck tile projected through the hull, on every tick"" @ src/torirsserver/test/sailing_server_selftest.u.h; ""standing passenger stays on its deck tile while root visibility travels with the hull"", ""a standing passenger gets no fake PLAYER_INFO walk, respawn or placement as the hull moves"" @ src/torirsserver/test/sailing_multiplayer_selftest.u.h",torirsserver --selftest,"Supersedes the old COST row. The visible lag it recorded was a consequence of projecting the high-resolution coordinate too; that half is gone. Tile quantisation now applies only to the visibility/coarse frame, where it is correct. RUN 2026-09-07 on the SHARED server 214b43d7 (built 08:08 from the final sources): TORIRSSERVER_SELFTEST_SAILING_ONLY=1 -> 563 checks, 0 failures, exit 0 (docs/sailing_validation/server/sailing-selftest-final.{log,tsv}); the full suite -> 250,071 checks, 0 failures (server/full-selftest-final.log). RE-RUN 2026-09-07 09:36 on the REBUILT shared server 6a0e7f04: sailing-only -> 563 checks, 0 failures (/tmp/sailing-fin3/sailing-selftest.log, .tsv). The FULL suite was NOT re-run on 6a0e7f04; the 250,071/0 above stands from 214b43d7 and is carried across three server-side source differences only (SRV-1's out->unbounded initialiser, a cached TORIRSSERVER_EXT_DEBUG getenv, and asserts that OPT=1 compiles out). The 1701-line sailing block lives in test/sailing_*_selftest.u.h; /tmp/sailing-server-capacity.log (481/1) is superseded and is not evidence."
SAIL-43,deck-move,A rider walks while obs_jumped is already firing for the hull's motion,"The walk step reaches the wire AS a step: the rider's step and the hull's compose into one observed position per tick, with no remove/re-add",PASS,"checks ""the rider takes a walk step along the deck while it sails, %d,%d -> %d,%d"", ""and their step and the hull's compose into the ONE observed tile every tick, got %d of %d"", ""with the hull genuinely under way for the walk"" @ src/torirsserver/test/sailing_server_selftest.u.h; ""moving aboard keeps the same remote player without remove/re-add (observer %d)"" @ src/torirsserver/test/sailing_multiplayer_selftest.u.h",torirsserver --selftest,"Supersedes the old COST row: deck-walkers no longer teleport for observers while the hull moves. RUN 2026-09-07 on the SHARED server 214b43d7 (built 08:08 from the final sources): TORIRSSERVER_SELFTEST_SAILING_ONLY=1 -> 563 checks, 0 failures, exit 0 (docs/sailing_validation/server/sailing-selftest-final.{log,tsv}); the full suite -> 250,071 checks, 0 failures (server/full-selftest-final.log). RE-RUN 2026-09-07 09:36 on the REBUILT shared server 6a0e7f04: sailing-only -> 563 checks, 0 failures (/tmp/sailing-fin3/sailing-selftest.log, .tsv). The FULL suite was NOT re-run on 6a0e7f04; the 250,071/0 above stands from 214b43d7 and is carried across three server-side source differences only (SRV-1's out->unbounded initialiser, a cached TORIRSSERVER_EXT_DEBUG getenv, and asserts that OPT=1 compiles out). The 1701-line sailing block lives in test/sailing_*_selftest.u.h; /tmp/sailing-server-capacity.log (481/1) is superseded and is not evidence."
SAIL-44,deck-move,A rider RUNS (two tiles a tick) along a moving deck,Both tiles compose with the hull's step into one observed position,PASS,"checks ""the retained deck provides a longitudinal RUN corridor"", ""RUN takes exactly two deck tiles while the hull moves (observer %d): %d,%d"", ""two deck RUN tiles plus hull movement compose to three root tiles"", ""root visibility moves three tiles while high-resolution staging retains a two-tile RUN"", ""the real packet preserves RUN traversal without a snap for observer %d"" @ src/torirsserver/test/sailing_multiplayer_selftest.u.h; native docs/sailing_validation/multiplayer/results.json (peer route_run 1, deck-local fine 448,472 -> 448,448 while the hull translates) and multiplayer/multiplayer-running.png",none,"The walk-only gap is closed. Native half RE-RUN 2026-09-07 on the 08:08 client 4854e303, then AGAIN at 09:36 on the FINAL pair 5e34b81f / 6a0e7f04 with pack 902a6b8d unchanged (multiplayer/results.json carries the final pair's hashes); multiplayer-running.png was opened and described in multiplayer/README.md. RUN 2026-09-07 on the SHARED server 214b43d7 (built 08:08 from the final sources): TORIRSSERVER_SELFTEST_SAILING_ONLY=1 -> 563 checks, 0 failures, exit 0 (docs/sailing_validation/server/sailing-selftest-final.{log,tsv}); the full suite -> 250,071 checks, 0 failures (server/full-selftest-final.log). RE-RUN 2026-09-07 09:36 on the REBUILT shared server 6a0e7f04: sailing-only -> 563 checks, 0 failures (/tmp/sailing-fin3/sailing-selftest.log, .tsv). The FULL suite was NOT re-run on 6a0e7f04; the 250,071/0 above stands from 214b43d7 and is carried across three server-side source differences only (SRV-1's out->unbounded initialiser, a cached TORIRSSERVER_EXT_DEBUG getenv, and asserts that OPT=1 compiles out). The 1701-line sailing block lives in test/sailing_*_selftest.u.h; /tmp/sailing-server-capacity.log (481/1) is superseded and is not evidence."
SAIL-45,deck-move,A rider walks off the deck edge,They stop at the gunwale or leave the instance deliberately — not step onto open water inside the instance pool,PASS,verified live 2026-08-26: ::vesselstep 20 0 from the deck centre stops the rider on the deck's last tile (x 6407 of base 6400 + 8); the route toward the pool is cleared at the first off-deck step (advance_player's gunwale check in torirs_server_world.c),torirs --manifest manifests/manifest_osrs239_sailing.ini + vesselboard + vesselstep,"The gunwale is the DECK-ZONE box (instance base + zones×8, the same rectangle the client homes by), NOT the map-instance reservation — that is whole 64-tile squares and let a rider stroll fifty tiles of empty pool first."
SAIL-46,other-players,A deck player and a shore player stand within a projected 15 tiles,"Each admits the other on the projected root coordinate, though their raw feet are far apart",PASS,"checks ""which lands beside the shore player, %d,%d vs %d,%d"", ""while their FEET are out of range of each other"", ""so PLAYER_INFO admits them to the shore player's set"", ""and the shore player to the deck player's"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,S2.4's cross-world visibility — the largest single server work item — verified at the view-test level.
SAIL-47,other-players,A deck player steps back ashore,"Observed and own coordinates become one thing again with no offset left over, and the shore player still has them",PASS,"checks ""ashore again, observed and own coordinates are one thing"", ""with no offset left over"", ""and the shore player still has them in view"" @ src/torirsserver/test/sailing_server_selftest.u.h",torirsserver --selftest,
SAIL-48,other-players,Any two players are in view of each other on the rev-239 lane,They appear in each other's PLAYER_INFO on the wire,PASS,"checks ""revision239 sends both sides of shore/deck visibility"", ""so PLAYER_INFO admits them to the shore player's set"", ""and the shore player to the deck player's"", ""both observers continue tracking after disembarking"" @ src/torirsserver/test/sailing_server_selftest.u.h; ""one consecutive PLAYER_INFO reaches selected observer %d, got %d"", ""the actual client decodes the production packet (%d operations)"" @ src/torirsserver/test/sailing_multiplayer_selftest.u.h; native docs/sailing_validation/multiplayer/results.json (peer wire_pid 2 present in the primary's frame)",torirsserver --selftest,"The DEFECT is FIXED. The rev-239 lane's local-player-only GPI writer was replaced by an actual multiplayer writer (src/torirsserver/mock239_playerinfo.c, src/net/rev/osrs239/osrs239_entity_info.c, make test-mock239-playerinfo). The whole projection area above is now reachable on the wire. RUN 2026-09-07 on the SHARED server 214b43d7 (built 08:08 from the final sources): TORIRSSERVER_SELFTEST_SAILING_ONLY=1 -> 563 checks, 0 failures, exit 0 (docs/sailing_validation/server/sailing-selftest-final.{log,tsv}); the full suite -> 250,071 checks, 0 failures (server/full-selftest-final.log). RE-RUN 2026-09-07 09:36 on the REBUILT shared server 6a0e7f04: sailing-only -> 563 checks, 0 failures (/tmp/sailing-fin3/sailing-selftest.log, .tsv). The FULL suite was NOT re-run on 6a0e7f04; the 250,071/0 above stands from 214b43d7 and is carried across three server-side source differences only (SRV-1's out->unbounded initialiser, a cached TORIRSSERVER_EXT_DEBUG getenv, and asserts that OPT=1 compiles out). The 1701-line sailing block lives in test/sailing_*_selftest.u.h; /tmp/sailing-server-capacity.log (481/1) is superseded and is not evidence."
SAIL-49,other-players,Two players stand on the same deck,"Each sees the other at their deck-local position, drawn inside the same hull's markers",PASS,"checks ""a runner and same-deck observer join alongside the shore observer"", ""observer %d receives the rider and a native appearance"", ""actual decoder preserves authoritative deck coordinates for observer %d: %d,%d expected %d,%d"" @ src/torirsserver/test/sailing_multiplayer_selftest.u.h; native docs/sailing_validation/multiplayer/results.json (HarnessMate view 1 / home_view 1 on the primary's own deck) and multiplayer/multiplayer-aboard.png",none,"All five multiplayer/*.png have now been opened and described individually (multiplayer/README.md, 2026-09-06 21:5x, plus multiplayer-second-boarder-tile.png): multiplayer-aboard.png shows a second humanoid on the aft deck with separate body and limbs, Adamant Bane 80/80 and the Facilities panel reading Steering. The results JSON was re-run on 4854e303 and again at 09:36 on the FINAL pair 5e34b81f / 6a0e7f04. RUN 2026-09-07 on the SHARED server 214b43d7 (built 08:08 from the final sources): TORIRSSERVER_SELFTEST_SAILING_ONLY=1 -> 563 checks, 0 failures, exit 0 (docs/sailing_validation/server/sailing-selftest-final.{log,tsv}); the full suite -> 250,071 checks, 0 failures (server/full-selftest-final.log). RE-RUN 2026-09-07 09:36 on the REBUILT shared server 6a0e7f04: sailing-only -> 563 checks, 0 failures (/tmp/sailing-fin3/sailing-selftest.log, .tsv). The FULL suite was NOT re-run on 6a0e7f04; the 250,071/0 above stands from 214b43d7 and is carried across three server-side source differences only (SRV-1's out->unbounded initialiser, a cached TORIRSSERVER_EXT_DEBUG getenv, and asserts that OPT=1 compiles out). The 1701-line sailing block lives in test/sailing_*_selftest.u.h; /tmp/sailing-server-capacity.log (481/1) is superseded and is not evidence."
